,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp,predicted_loan_status
5417,2,0,2,30,13375.0,15.8,468.91,41000.0,31.2,2.0,6.0,12.0,310.1,36.0,18353.0,27.0,0.0,bad
5509,10,4,2,27,3000.0,15.31,104.46,20000.0,2.04,0.0,0.0,3.0,336.6,36.0,34.0,5.0,0.0,bad
5522,1,0,2,36,6950.0,18.49,252.98,38000.0,11.94,0.0,0.0,7.0,272.6,36.0,4198.0,12.0,0.0,bad
5578,1,3,2,37,35000.0,22.95,1353.93,120000.0,29.39,2.0,2.0,8.0,406.3,36.0,20743.0,19.0,0.0,bad
5584,11,0,2,39,10750.0,11.14,352.66,32400.0,12.3,0.0,33.0,8.0,308.4,36.0,9940.0,13.0,0.0,bad
5754,6,0,1,4,28000.0,21.49,765.24,97000.0,8.08,0.0,0.0,11.0,220.7,60.0,30046.0,15.0,26917.28,bad
5780,1,0,2,23,22250.0,21.0,601.94,50350.0,18.21,0.0,0.0,5.0,224.7,60.0,6084.0,14.0,0.0,bad
5845,1,4,1,10,17625.0,21.0,476.82,39500.0,18.77,0.0,0.0,15.0,438.5,60.0,7460.0,24.0,0.0,bad
5875,5,3,2,9,12000.0,23.28,340.22,65000.0,12.66,0.0,27.0,10.0,262.3,60.0,8828.0,28.0,0.0,bad
6079,5,4,2,18,16000.0,22.7,448.3,85000.0,15.2,0.0,68.0,12.0,211.7,60.0,5905.0,29.0,15554.99,bad
6126,1,0,8,28,4950.0,21.6,188.02,17500.0,17.9,0.0,0.0,12.0,256.5,36.0,2861.0,20.0,0.0,bad
6201,1,0,2,19,12250.0,13.68,416.78,35000.0,13.27,1.0,17.0,11.0,297.3,36.0,8051.0,23.0,0.0,bad
6403,2,0,1,37,6000.0,16.78,213.26,60000.0,20.32,0.0,0.0,7.0,244.7,36.0,9334.0,25.0,0.0,bad
6508,1,0,6,12,2000.0,16.78,71.09,63000.0,22.13,0.0,0.0,8.0,321.1,36.0,30487.0,17.0,0.0,bad
6522,8,4,2,4,10000.0,15.88,350.98,60000.0,14.37,0.0,0.0,7.0,316.2,36.0,9515.0,14.0,0.0,bad
8428,3,4,1,30,11100.0,21.6,304.06,32000.0,21.9,0.0,0.0,11.0,300.2,60.0,15610.0,18.0,10995.86,bad
